participant_id,participant_hash,item_order,latin_square_group,experimental_condition,word_position,word_index_0based,word,word_raw,cs_point,first_pass_reading_time,first_pass_move_direction,num_reread_events,rereading_time,total_reading_time,had_regression,newline_flag,parse_status,suitability,error_rate,accuracy,surprisal,surprisal_z,log_reading_time,surprisal_raw
Bemule16,be555773996213fb9bd87c773ae933c2,2,1,cs_tr_de_1,2,1.0,Hose,Hose,1,265.0,forward,0,0.0,265.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,23.73800307148485,0.4388504622406591,5.579729825986222,23.73800307148485
Bemule16,be555773996213fb9bd87c773ae933c2,2,1,cs_tr_de_1,3,2.0,und,und,0,258.0,forward,0,0.0,258.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,13.138104168156506,-0.6143855967060449,5.552959584921617,13.138104168156506
Bemule16,be555773996213fb9bd87c773ae933c2,2,1,cs_tr_de_1,4,3.0,Schuhe,Schuhe,0,268.0,forward,0,0.0,268.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,23.00832746315499,0.36634782150456996,5.5909869805108565,23.00832746315499
Bemule16,be555773996213fb9bd87c773ae933c2,2,1,cs_tr_de_1,5,4.0,hab,hab,0,240.0,forward,0,0.0,240.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,15.590613917712744,-0.370697262816379,5.480638923341991,15.590613917712744
Bemule16,be555773996213fb9bd87c773ae933c2,2,1,cs_tr_de_1,6,5.0,"ich,",ich%2C,0,221.0,forward,0,0.0,221.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,25.44159441787149,0.6081241366490603,5.3981627015177525,25.44159441787149
Bemule16,be555773996213fb9bd87c773ae933c2,2,1,cs_tr_de_1,7,6.0,bir,bir,1,232.0,forward,0,0.0,232.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,34.03937311358433,1.4624238457080896,5.44673737166631,34.03937311358433
Bemule16,be555773996213fb9bd87c773ae933c2,2,1,cs_tr_de_1,8,7.0,Oberteil,Oberteil,1,227.0,forward,0,0.0,227.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,48.28270658924559,2.8776819111844176,5.424950017481403,48.28270658924559
Bemule16,be555773996213fb9bd87c773ae933c2,2,1,cs_tr_de_1,9,8.0,"eksik,",eksik%2C,1,850.0,forward,0,0.0,850.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,42.99605070856251,2.3523847686777377,6.745236349484363,42.99605070856251
Bemule16,be555773996213fb9bd87c773ae933c2,2,1,cs_tr_de_1,10,9.0,onu,onu,0,355.0,forward,0,0.0,355.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,13.297200502955466,-0.5985773330438408,5.872117789475416,13.297200502955466
Bemule16,be555773996213fb9bd87c773ae933c2,2,1,cs_tr_de_1,11,10.0,da,da,0,268.0,forward,0,0.0,268.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,15.691973612825247,-0.36062587564656257,5.5909869805108565,15.691973612825247
Bemule16,be555773996213fb9bd87c773ae933c2,2,1,cs_tr_de_1,12,11.0,ablamdan,ablamdan,0,1234.0,forward,0,0.0,1234.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,55.35093487780013,3.580001147836309,7.1180162044653335,55.35093487780013
Bemule16,be555773996213fb9bd87c773ae933c2,2,1,cs_tr_de_1,13,12.0,"yürütürüm,",yürütürüm%2C,0,445.0,forward,0,0.0,445.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,46.72912814196994,2.7233139444711347,6.09807428216624,46.72912814196994
Bemule16,be555773996213fb9bd87c773ae933c2,2,1,cs_tr_de_1,14,13.0,napim.,napim.,0,859.0,forward,0,0.0,859.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,26.58906266442815,0.7221398404583049,6.755768921984255,26.58906266442815
Bemule16,be555773996213fb9bd87c773ae933c2,3,2,cs_tr_de_1,2,1.0,Ticketa,Ticketa,1,234.0,forward,1,591.0,825.0,True,False,ok,suitable,0.0576923076923076,0.9423076923076924,42.86114201378089,2.338979857621009,5.455321115357702,42.86114201378089
Bemule16,be555773996213fb9bd87c773ae933c2,3,2,cs_tr_de_1,3,2.0,"baktım,",baktım%2C,1,925.0,backward,1,899.0,1824.0,True,False,ok,suitable,0.0576923076923076,0.9423076923076924,36.02353007728252,1.65957531666419,6.829793737512425,36.02353007728252
Bemule16,be555773996213fb9bd87c773ae933c2,3,2,cs_tr_de_1,4,5.0,Eingang,Eingang,1,505.0,forward,0,0.0,505.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,45.83716832842472,2.634686284214656,6.22455842927536,45.83716832842472
Bemule16,be555773996213fb9bd87c773ae933c2,3,2,cs_tr_de_1,5,6.0,bilmem,bilmem,0,440.0,forward,0,0.0,440.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,21.84456351646378,0.2507129306498618,6.0867747269123065,21.84456351646378
Bemule16,be555773996213fb9bd87c773ae933c2,3,2,cs_tr_de_1,6,7.0,ne,ne,0,457.0,forward,0,0.0,457.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,12.794989148656754,-0.6484784794966408,6.124683390894205,12.794989148656754
Bemule16,be555773996213fb9bd87c773ae933c2,3,2,cs_tr_de_1,7,8.0,neun,neun,1,325.0,forward,0,0.0,325.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,45.66264858949639,2.617345507315401,5.783825182329737,45.66264858949639
Bemule16,be555773996213fb9bd87c773ae933c2,3,2,cs_tr_de_1,8,9.0,oder,oder,0,545.0,forward,0,0.0,545.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,27.71032350671573,0.8335515021498536,6.300785794663244,27.71032350671573
Bemule16,be555773996213fb9bd87c773ae933c2,3,2,cs_tr_de_1,9,10.0,so.,so.,0,470.0,forward,0,0.0,470.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,16.006008429855907,-0.32942248436161686,6.152732694704104,16.006008429855907
Bemule16,be555773996213fb9bd87c773ae933c2,4,3,cs_tr_de_1,2,1.0,bir,bir,0,249.0,forward,0,0.0,249.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,6.975882548139054,-1.2266814376961341,5.517452896464707,6.975882548139054
Bemule16,be555773996213fb9bd87c773ae933c2,4,3,cs_tr_de_1,3,2.0,baktım,baktım,0,222.0,forward,0,0.0,222.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,28.0512894310103,0.8674308447373918,5.402677381872279,28.0512894310103
Bemule16,be555773996213fb9bd87c773ae933c2,4,3,cs_tr_de_1,4,3.0,und,und,1,520.0,forward,0,0.0,520.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,37.04045110908344,1.760619478458762,6.253828811575473,37.04045110908344
Bemule16,be555773996213fb9bd87c773ae933c2,4,3,cs_tr_de_1,5,4.0,das,das,0,347.0,forward,0,0.0,347.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,23.94669645107023,0.4595868291293807,5.849324779946859,23.94669645107023
Bemule16,be555773996213fb9bd87c773ae933c2,4,3,cs_tr_de_1,6,5.0,ist,ist,0,287.0,forward,0,0.0,287.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,13.827996749688785,-0.5458359104971068,5.659482215759621,13.827996749688785
Bemule16,be555773996213fb9bd87c773ae933c2,4,3,cs_tr_de_1,7,6.0,eine,eine,0,300.0,forward,0,0.0,300.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,17.82264741230769,-0.148916075776373,5.703782474656201,17.82264741230769
Bemule16,be555773996213fb9bd87c773ae933c2,4,3,cs_tr_de_1,8,7.0,"riesige,",riesige%2C,0,308.0,forward,0,0.0,308.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,32.93502986069682,1.3526931637456037,5.730099782973574,32.93502986069682
Bemule16,be555773996213fb9bd87c773ae933c2,4,3,cs_tr_de_1,9,8.0,böyle,böyle,1,276.0,forward,0,0.0,276.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,44.64752718415409,2.5164801615167307,5.62040086571715,44.64752718415409
Bemule16,be555773996213fb9bd87c773ae933c2,4,3,cs_tr_de_1,10,9.0,Einkaufsstraße,Einkaufsstraße,1,742.0,forward,0,0.0,742.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,43.70540897445004,2.422868620567123,6.60934924316738,43.70540897445004
Bemule16,be555773996213fb9bd87c773ae933c2,4,3,cs_tr_de_1,11,10.0,gibi,gibi,1,384.0,forward,0,0.0,384.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,16.0710082408536,-0.3229639185402018,5.950642552587727,16.0710082408536
Bemule16,be555773996213fb9bd87c773ae933c2,4,3,cs_tr_de_1,12,11.0,bir,bir,0,626.0,forward,0,0.0,626.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,5.434989885156349,-1.3797889088542037,6.439350371100098,5.434989885156349
Bemule16,be555773996213fb9bd87c773ae933c2,4,3,cs_tr_de_1,13,12.0,şey,şey,0,353.0,forward,0,0.0,353.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,7.346366886697113,-1.1898690616345247,5.8664680569332965,7.346366886697113
Bemule16,be555773996213fb9bd87c773ae933c2,4,3,cs_tr_de_1,14,13.0,var.,var.,0,405.0,forward,0,0.0,405.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,21.41909907614729,0.2084375755330128,6.003887067106539,21.41909907614729
Bemule16,be555773996213fb9bd87c773ae933c2,4,3,cs_tr_de_1,15,14.0,Weißt,Weißt,1,555.0,forward,0,0.0,555.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,17.541367723029754,-0.17686482454262978,6.318968113746434,17.541367723029754
Bemule16,be555773996213fb9bd87c773ae933c2,4,3,cs_tr_de_1,16,15.0,du,du,0,370.0,forward,0,0.0,370.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,7.450753476464803,-1.1794969136153308,5.91350300563827,7.450753476464803
Bemule16,be555773996213fb9bd87c773ae933c2,4,3,cs_tr_de_1,17,16.0,in,in,0,455.0,forward,0,0.0,455.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,21.694192893438995,0.23577167849072517,6.12029741895095,21.694192893438995
Bemule16,be555773996213fb9bd87c773ae933c2,4,3,cs_tr_de_1,18,17.0,Darmstadt!,Darmstadt!,0,485.0,forward,0,0.0,485.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,26.989339213629872,0.7619124551799069,6.184148890937483,26.989339213629872
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,2,1.0,"sonra,",sonra%2C,0,212.0,forward,0,0.0,212.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,32.45896537277408,1.3053900441935118,5.356586274672012,32.45896537277408
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,3,2.0,ich,ich,1,350.0,forward,0,0.0,350.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,28.69820286016136,0.9317100003041318,5.857933154483459,28.69820286016136
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,4,3.0,aber,aber,0,212.0,forward,0,0.0,212.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,19.0530470689716,-0.026660071532109232,5.356586274672012,19.0530470689716
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,5,4.0,immer,immer,0,219.0,forward,0,0.0,219.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,9.011010354038754,-1.0244653591007422,5.389071729816501,9.011010354038754
